ActualPower;Max Capacity;Location 4;Location 5;Location 6;Location 8
15,568;42,5;7,932;5,845;6,479;5,247
15,091;42,5;8,186;5,838;6,569;5,192
13,599;42,5;8,388;5,835;6,629;5,133
15,921;42,5;8,534;5,838;6,669;5,064
16,83;42,5;8,599;5,637;6,716;5,066
16,624;42,5;8,835;5,775;7,02;5,273
17,207;42,5;8,962;6,077;7,103;
18,488;42,5;8,992;6,285;7,127;5,097
20,035;42,5;8,904;6,406;7,087;4,993
20,31;42,5;8,748;6,522;7,019;4,867
20,541;42,5;8,594;6,622;6,92;4,724
18,922;42,5;8,563;6,763;6,949;4,691
21,315;42,5;8,671;6,938;7,132;4,741
22,273;42,5;8,863;7,145;7,383;4,834
23,385;42,5;9,076;7,362;7,627;4,933
21,099;42,5;9,203;7,513;7,756;4,979
20,379;42,5;9,206;7,576;7,754;4,958
20,31;42,5;9,103;7,559;7,656;4,937
19,634;42,5;8,916;7,477;7,48;4,927
18,41;42,5;8,722;7,377;7,305;4,985
19,437;42,5;8,566;7,261;7,191;5,1
17,052;42,5;8,469;7,135;7,202;5,341
14,332;42,5;8,497;7,035;7,391;5,617
12,367;42,5;8,589;6,92;7,659;5,838
10,008;42,5;8,693;6,847;7,934;6,124
9,107;42,5;8,812;6,823;8,202;6,457
9,899;42,5;8,952;6,879;8,502;6,896
8,004;42,5;9,098;6,946;8,841;7,369
7,076;42,5;9,145;6,955;9,063;7,743
6,979;42,5;9,115;6,906;9,128;7,941
6,235;42,5;;6,831;9,088;7,992
5,493;41,25;9,001;6,747;9,011;7,972
5,041;41,25;8,955;6,672;8,952;7,961
4,293;41,25;8,938;6,622;8,936;7,978
3,664;41,25;8,916;6,54;8,942;8,019
4,257;41,25;8,977;6,133;9,117;8,164
4,922;41,25;9,029;5,848;9,216;8,147
5,523;41,25;9,02;5,75;9,205;8,018
5,109;41,25;9,006;5,665;9,168;7,862
4,4;41,25;9,045;5,601;9,179;7,801
4,282;41,25;9,131;5,574;9,238;7,78
5,011;41,25;9,217;5,587;9,28;7,733
4,88;41,25;9,288;5,623;9,279;7,659
4,478;41,25;9,335;5,657;9,242;7,58
4,938;41,25;9,361;5,67;9,193;7,515
7,152;41,25;9,367;5,659;9,145;7,469
8,558;42,5;9,356;5,624;9,103;7,425
7,508;42,5;9,329;5,57;9,061;7,366
6,84;42,5;9,29;5,509;9,009;7,281
7,851;42,5;9,226;5,429;8,915;7,151
8,479;42,5;9,12;5,318;8,765;6,97
8,355;42,5;8,99;5,192;8,571;6,746
8,125;42,5;8,837;5,067;8,34;6,503
7,57;42,5;8,667;4,945;8,069;6,239
7,52;42,5;8,46;4,827;7,749;5,973
6,908;42,5;8,201;4,722;7,372;5,712
7,079;42,5;7,924;4,667;7,009;5,549
8,576;42,5;7,621;4,651;6,698;5,487
9,668;42,5;7,35;4,669;6,509;5,529
9,581;42,5;7,119;4,714;6,425;5,631
8,056;42,5;6,923;4,756;6,394;5,726
7,3;42,5;6,764;4,779;6,378;5,786
8,096;42,5;6,636;4,779;6,347;5,806
9,142;42,5;6,544;4,771;6,307;5,778
9,1;42,5;6,488;4,77;6,263;5,716
9,051;42,5;6,489;4,788;6,237;5,641
8,462;42,5;6,532;4,813;6,205;5,551
9,473;42,5;6,617;4,841;6,18;5,452
;42,5;6,73;4,864;6,164;5,347
9,642;42,5;6,854;4,878;6,159;5,239
9,407;42,5;6,979;4,897;6,164;5,143
9,164;42,5;7,1;4,924;6,18;5,069
8,752;42,5;7,468;5,599;6,75;5,634
10,284;42,5;7,625;5,592;6,73;5,501
9,513;42,5;7,641;5,528;6,613;5,333
11,491;42,5;7,564;5,442;6,462;5,19
11,608;42,5;7,468;5,409;6,364;5,131
10,781;42,5;7,303;5,411;6,27;5,13
11,972;42,5;7,111;5,408;6,173;5,137
16,172;42,5;6,929;5,345;6,08;5,118
19,143;42,5;6,749;5,234;5,981;5,075
20,997;42,5;6,689;5,199;5,983;5,087
22,435;42,5;6,738;5,223;6,057;5,136
22,73;42,5;6,81;5,241;6,109;5,143
21,686;42,5;6,871;5,239;6,115;5,084
21,407;42,5;6,921;5,217;6,086;4,982
21,138;42,5;6,985;5,193;6,062;4,884
21,049;42,5;7,04;5,168;6,036;4,807
20,644;42,5;7,1;5,152;6,039;4,756
20,862;42,5;7,176;5,157;6,07;4,733
20,519;42,5;7,259;5,182;6,117;4,728
19,199;42,5;7,354;5,214;6,18;
18,323;42,5;;5,226;6,21;4,772
14,059;42,5;7,461;5,227;6,226;4,771
12,108;42,5;7,476;5,229;6,227;4,758
11,059;42,5;7,484;5,238;6,227;4,741
10,116;42,5;7,492;5,248;6,226;4,723
10,097;42,5;7,493;5,23;6,214;4,699
11,131;42,5;7,468;5,182;6,167;4,654
10,868;42,5;7,395;5,122;6,081;4,6
10,941;42,5;7,378;4,812;6,089;4,567
11,128;42,5;7,375;5,235;6,064;4,529
11,59;42,5;7,281;5,516;6,001;4,467
12,539;42,5;6,988;5,622;5,843;4,353
11,384;42,5;6,626;5,583;5,596;4,191
10,842;42,5;6,43;5,534;5,463;4,089
10,214;42,5;6,393;5,555;5,47;4,142
9,339;42,5;6,501;5,612;5,67;4,378
9,195;42,5;6,689;5,697;5,933;4,664
9,544;42,5;6,85;5,827;6,145;4,919
8,943;42,5;7,011;5,971;6,335;5,14
8,875;42,5;7,186;6,068;6,526;5,326
9,483;42,5;7,335;6,152;6,713;5,487
9,443;42,5;7,486;6,277;6,897;5,625
8,654;42,5;7,647;6,406;7,074;5,749
9,16;42,5;7,802;6,506;7,227;5,832
11,62;42,5;7,928;6,573;7,338;5,862
11,752;42,5;8,015;6,63;7,407;5,844
11,172;42,5;8,065;6,683;7,439;5,804
12,05;42,5;8,097;6,721;7,462;5,776
12,348;42,5;8,114;6,744;7,477;5,761
11,278;42,5;8,105;6,749;7,473;5,755
10,527;42,5;8,047;6,714;7,422;5,73
9,199;42,5;7,961;6,665;7,344;5,701
8,32;42,5;7,839;6,587;7,235;5,658
8,81;42,5;7,674;6,481;7,079;5,583
10,028;42,5;7,514;6,382;6,928;5,542
7,268;42,5;7,411;6,296;6,828;5,558
3,357;42,5;7,283;6,211;6,681;5,516
0,683;42,5;7,078;6,061;6,427;5,335
0;42,5;6,834;5,828;6,101;4,982
0,916;42,5;6,657;5,179;5,727;4,529
1,398;43,75;6,531;4,83;5,395;4,099
2,417;43,75;6,268;4,704;4,975;3,719
2,703;43,75;5,998;4,553;4,661;3,619
1,306;43,75;5,837;4,429;4,56;3,526
1,02;43,75;5,704;4,353;4,507;3,37
0,994;43,75;5,585;4,317;4,506;3,242
2,018;43,75;5,452;4,285;4,439;3,177
3,669;43,75;5,282;4,249;4,319;3,151
4,059;43,75;5,117;4,216;4,179;3,111
4,697;43,75;5,018;4,199;4,062;3,021
4,671;43,75;5;4,174;3,982;2,885
3,452;43,75;4,935;4,058;3,872;2,72
2,926;43,75;4,745;3,801;3,697;2,557
3,501;43,75;4,351;3,289;3,371;2,374
3,082;43,75;3,768;2,492;2,866;2,115
2,498;43,75;3,056;1,523;2,207;1,658
2,095;43,75;2,407;1,355;1,565;1,096
1,891;43,75;1,862;1,35;1,064;0,677
1,75;43,75;1,349;1,024;0,822;0,689
1,517;;0,936;0,526;0,855;1,133
1,596;;0,953;0,116;1,184;1,613
1,537;;1,395;0,594;1,66;2,038
0,674;43,75;1,854;0,913;2,057;2,332
0,045;43,75;2,135;0,941;2,268;2,448
0,198;43,75;0,942;0,258;1,159;1,309
0,032;43,75;1,347;0,218;1,615;1,723
0,208;43,75;1,699;0,353;2,016;2,061
0,074;43,75;1,83;0,503;2,144;2,164
0,456;43,75;1,959;0,681;2,245;2,231
0,928;43,75;2,106;0,911;2,345;2,294
1,414;43,75;2,266;1,132;2,453;2,371
1,57;43,75;2,433;1,333;2,564;2,461
0,849;43,75;2,614;1,538;2,691;2,566
0,861;43,75;2,805;1,777;2,839;2,702
2,131;43,75;3,008;1,905;3,006;2,864
2,54;43,75;3,209;1,995;3,175;3,042
2,379;43,75;3,399;2,259;3,334;3,225
2,058;43,75;3,579;2,129;3,477;3,391
1,284;43,75;3,76;1,84;3,616;3,543
1,188;43,75;3,95;1,982;3,768;3,693
1,195;43,75;4,111;2,217;3,899;3,802
1,434;43,75;4,238;2,475;4,004;3,872
1,61;43,75;4,294;2,659;4,086;3,914
1,453;43,75;4,273;2,843;4,182;3,989
1,943;43,75;4,145;3,03;4,231;4,063
1,964;43,75;4,058;3,21;4,223;4,101
2,042;43,75;4,074;3,365;4,189;4,025
2,021;43,75;4,103;3,481;4,149;3,914
2,215;43,75;4,122;3,549;4,138;3,863
2,579;43,75;4,124;3,603;4,129;3,82
1,988;43,75;4,117;3,653;4,103;3,756
1,574;43,75;4,108;3,68;4,066;3,684
1,378;43,75;4,078;3,672;4,017;3,628
1,451;43,75;4,029;3,627;3,954;3,581
1,802;43,75;3,982;3,582;3,892;3,535
1,124;43,75;3,962;3,586;3,844;3,495
0,974;43,75;3,953;3,598;3,805;3,465
1,228;43,75;3,957;3,608;3,782;3,448
2,023;43,75;3,972;3,615;3,777;3,445
2,74;43,75;3,994;3,62;3,792;3,47
3,391;43,75;4,002;3,612;3,803;3,501
4,283;43,75;4,008;3,605;3,817;3,537
3,984;43,75;3,997;3,589;3,813;3,555
4,619;43,75;3,984;3,579;3,8;3,555
5,188;43,75;4,001;3,609;3,809;3,573
5,194;43,75;4,025;3,657;3,814;3,585
5,167;43,75;4,037;3,684;3,799;3,567
6,987;43,75;4,035;3,659;3,773;3,557
8,322;43,75;4,038;3,66;3,732;3,54
9,193;43,75;4,029;3,669;3,658;3,504
9,939;43,75;4,097;3,489;3,616;3,493
10,104;43,75;4,164;3,52;3,602;3,505
10,876;43,75;4,243;3,567;3,619;3,537
12,218;45;4,351;3,622;3,704;3,617
11,534;45;4,477;3,683;3,825;3,731
7,977;45;4,594;3,756;3,957;3,865
8,352;45;4,691;3,834;4,098;4,013
12,97;45;4,775;3,896;4,255;4,165
14,243;45;4,867;3,933;4,426;4,289
18,508;45;4,982;3,951;4,596;4,361
20,541;45;5,116;3,964;4,751;4,391
20,636;45;5,254;3,986;4,892;4,418
19,966;45;5,375;4,027;5,023;4,466
22,329;45;5,476;4,095;5,144;4,538
26,146;45;5,552;4,172;5,248;4,631
31,07;45;5,633;4,239;5,364;4,756
32,764;45;5,767;4,29;5,529;4,901
34,4;45;5,959;4,307;5,729;5,016
34,877;45;6,223;4,324;5,966;5,129
35,202;45;6,557;4,377;6,247;5,309
34,418;45;6,929;4,479;6,542;5,537
32,584;45;7,282;4,606;6,805;5,755
31,469;45;7,573;4,695;7,012;5,908
29,818;45;7,762;4,717;7,13;5,971
30;45;7,847;4,68;7,166;5,974
31,964;45;7,869;4,601;7,159;5,933
32,388;45;7,837;4,458;7,111;5,827
32,572;45;7,732;4,218;7,006;5,644
32,241;45;7,544;3,885;6,844;5,394
32,632;45;7,271;3,485;6,63;5,107
34,235;45;6,933;3,082;6,37;4,806
33,868;45;6,517;2,719;6,038;4,473
33,462;45;6,085;2,5;5,644;4,1
36,166;45;5,688;2,4;5,238;3,725
37,878;45;5,372;2,829;4,881;3,423
38,444;45;5,143;3,184;4,598;3,234
39,859;45;7,758;4,863;8,153;7,928
38,979;45;8,059;4,97;8,402;8,088
39,381;45;8,388;5,154;8,673;8,256
37,652;45;8,706;5,368;8,932;8,395
35,723;45;8,939;5,548;9,126;8,479
33,831;45;9,04;5,62;9,226;8,513
32,365;45;9,077;5,618;9,287;8,524
29,835;45;9,202;5,667;9,426;8,583
27,151;45;9,399;5,787;9,621;8,671
25,959;45;9,649;5,973;9,839;8,764
28,23;45;9,914;6,176;10,061;8,863
28,309;45;10,171;6,351;10,271;8,943
28,298;45;10,394;6,465;10,453;8,992
28,072;45;10,603;6,554;10,622;9,018
27,173;45;10,845;6,674;10,812;9,061
24,855;45;11,112;6,811;11,011;9,11
23,182;45;11,346;6,921;11,173;9,119
21,523;45;11,526;6,995;11,289;9,09
20,835;45;11,631;7,01;11,351;9,027
20,482;45;11,682;6,995;11,378;8,941
18,149;45;11,716;6,995;11,386;8,834
16,495;43,75;11,752;7,022;11,399;8,743
16,153;43,75;11,761;7,04;11,387;8,657
14,562;43,75;11,753;7,059;11,348;8,576
13,747;43,75;11,73;7,071;11,276;8,488
13,795;43,75;11,71;7,096;11,173;8,364
14,143;43,75;11,699;7,143;11,039;8,188
14,79;43,75;11,702;7,211;10,875;7,969
16,423;45;11,694;7,269;10,658;7,687
16,439;45;11,656;7,298;10,384;7,368
13,095;45;11,557;7,277;10,054;7,044
12,982;45;11,407;7,236;9,712;6,786
14,242;45;11,248;7,171;9,409;6,599
13,689;45;11,145;6,551;9,192;6,553
13,502;45;10,974;6,888;8,964;6,376
12,132;45;10,714;7,186;8,711;6,242
12,968;45;10,407;7,375;8,45;6,13
14,333;45;10,027;7,596;8,16;5,993
11,632;45;9,526;7,703;7,818;5,809
10,541;45;9,051;7,716;7,49;5,649
10,988;45;8,684;7,66;7,234;5,518
12,784;45;8,501;7,582;7,138;5,517
12,514;45;8,426;7,515;7,145;5,573
12,435;45;8,411;7,465;7,226;5,595
13,189;45;8,418;7,429;7,325;5,688
13,188;45;8,382;7,403;7,362;5,828
11,869;43,5;8,345;7,378;7,37;5,955
11,259;45;8,345;7,334;7,385;6,011
11,49;45;8,397;7,285;7,428;6,034
13,547;45;8,517;7,295;7,522;6,099
13,29;45;8,695;7,382;7,649;6,173
16,3;45;8,841;7,468;7,706;6,147
17,56;45;8,871;7,47;7,631;6,036
17,017;43,75;8,826;7,44;7,464;5,863
20,059;43,75;8,76;7,364;7,28;5,676
20,227;43,75;8,668;7,238;7,053;5,47
19,147;43,75;8,541;7,045;6,818;5,347
16,946;43,75;8,259;6,734;6,575;5,324
13,593;43,75;7,888;6,318;6,384;5,42
12,732;43,75;7,518;5,76;6,205;5,467
